response_id,major,year,chronotype,sleep_hrs,caffeine_per_day,social_media_hrs,tabs_open,stress,coding_excited,coding_anxious,personality_neur,personality_extra,personality_consc,data_words
R_7Fkq5bRdEYWENih,Psychology,Junior,Evening person,8,2,7,363,4,7,8,9,8,8,frustrating and overwhelming
R_7mni7E59hbZtnha,Neuroscience,Senior,Morning person,6,1,2,10,NA,6,NA,NA,NA,3,novel
R_7BKhLj1XlkKC5Hz,Psychology,Junior,Morning person,9,2,1,2,3,8,8,9,2,NA,novice
R_740rxl4QFx2rgVB,Psychology,Junior,Neither,9,1,3,11,3,6,8,7,6,7,hopeful
R_5KhHNNVmhpMyF3z,Neuroscience,Senior,Evening person,7,2,2,6,2,NA,5,NA,5,NA,work-in-progress
R_1gJE082MJONDMsN,Psychology,Senior,Evening person,7,1,8,26,6,7,7,NA,4,7,big and scary
R_10SY8BowRSd2Zlf,Psychology,Other,Morning person,7,0.15,0.33,7,6,7,6,NA,8,NA,necessary
R_1e8rqtIAOTnqJ95,Psychology,Other,Evening person,7,1.5,1,27,6,NA,5,7,7,6,theory adjacent
R_5eKNYDtLZDZLPpK,Psychology,Senior,Evening person,7,1.3,1,12,2,5,4,8,9,8,unrequited love
R_1vS9sal8Nx1cjeh,Psychology,Junior,Evening person,7,1,8,9,5,5,5,NA,7,8,neutral
R_3HXmz14ehGCbC43,Neuroscience,Senior,Evening person,7,2.5,4.5,6,3,6,8,NA,6,8,barely friends
