id,department,satisfaction,completed
1,Psychology,6,TRUE
2,Psychology,5,TRUE
3,Psychology,7,TRUE
4,Psychology,4,TRUE
5,Psychology,6,TRUE
6,Psychology,NA,TRUE
7,Biology,4,TRUE
8,Biology,3,TRUE
9,Biology,5,TRUE
10,Biology,4,TRUE
11,Biology,6,TRUE
12,Biology,3,FALSE
13,Sociology,5,TRUE
14,Sociology,6,TRUE
15,Sociology,5,TRUE
16,Sociology,7,TRUE
17,Sociology,NA,TRUE
18,Sociology,4,TRUE
19,English,3,TRUE
20,English,4,TRUE
21,English,5,TRUE
22,English,3,TRUE
23,English,4,TRUE
24,English,2,FALSE
25,Chemistry,5,TRUE
26,Chemistry,6,TRUE
27,Chemistry,4,TRUE
28,Chemistry,5,TRUE
29,Chemistry,7,TRUE
30,Chemistry,6,TRUE
31,History,4,TRUE
32,History,3,TRUE
33,History,5,TRUE
34,History,4,FALSE
35,History,6,TRUE
36,History,3,TRUE
37,Math,2,TRUE
38,Math,3,TRUE
39,Math,4,TRUE
40,Math,2,FALSE
